Start time          ,End time
11/16/2012 11:03,11/16/2012 11:06
11/16/2012 11:09,11/16/2012 11:17
11/16/2012 11:40,11/16/2012 11:47
11/16/2012 12:09,11/16/2012 12:09
11/16/2012 12:10,11/16/2012 12:53
11/16/2012 12:56,11/16/2012 13:52
11/16/2012 14:19,11/16/2012 14:55
11/16/2012 15:05,11/16/2012 15:06
11/16/2012 15:17,11/16/2012 18:04
11/16/2012 18:09,11/16/2012 18:10
11/16/2012 18:11,11/16/2012 18:15
11/16/2012 18:16,11/16/2012 21:38
11/16/2012 22:10,11/16/2012 22:10
11/16/2012 22:18,11/17/2012 2:19
11/17/2012 2:26,11/17/2012 2:29
11/17/2012 2:31,11/17/2012 2:31
11/17/2012 2:32,11/17/2012 2:33
11/17/2012 2:34,11/17/2012 9:46
11/17/2012 9:52,11/17/2012 9:53
11/17/2012 9:57,11/17/2012 10:03
11/17/2012 10:18,11/17/2012 10:20
11/17/2012 10:21,11/17/2012 10:34
11/17/2012 10:38,11/17/2012 10:42
11/17/2012 10:47,11/17/2012 12:14
11/17/2012 12:35,11/17/2012 12:43
11/17/2012 12:45,11/17/2012 14:31
11/17/2012 14:42,11/17/2012 16:24
11/17/2012 16:30,11/17/2012 16:30
11/17/2012 16:31,11/17/2012 16:31
11/17/2012 16:32,11/17/2012 17:28
11/17/2012 17:39,11/17/2012 20:26
11/17/2012 20:26,11/17/2012 20:31
11/17/2012 20:44,11/17/2012 20:45
11/17/2012 20:46,11/17/2012 20:46
11/17/2012 20:54,11/17/2012 20:55
11/17/2012 21:19,11/18/2012 0:31
11/18/2012 0:39,11/18/2012 1:34
11/18/2012 1:39,11/18/2012 8:57
11/18/2012 9:05,11/18/2012 9:06
11/18/2012 9:07,11/18/2012 9:14
11/18/2012 9:22,11/18/2012 9:29
11/18/2012 9:30,11/18/2012 9:44
11/18/2012 9:59,11/18/2012 10:06
11/18/2012 10:36,11/18/2012 10:49
11/18/2012 10:53,11/18/2012 14:34
11/18/2012 14:50,11/18/2012 14:57
11/18/2012 17:14,11/18/2012 17:20
11/18/2012 17:25,11/18/2012 17:26
11/18/2012 17:27,11/18/2012 17:30
11/18/2012 17:44,11/18/2012 17:44
11/18/2012 17:45,11/18/2012 19:40
11/18/2012 19:53,11/18/2012 22:23
11/18/2012 22:24,11/18/2012 22:26
11/18/2012 22:30,11/18/2012 22:42
11/18/2012 22:43,11/18/2012 22:59
11/18/2012 23:00,11/18/2012 23:02
11/18/2012 23:03,11/18/2012 23:03
11/18/2012 23:05,11/19/2012 0:08
11/19/2012 0:12,11/19/2012 0:12
11/19/2012 0:13,11/19/2012 10:09
11/19/2012 10:11,11/19/2012 10:12
11/19/2012 10:13,11/19/2012 10:25
11/19/2012 10:34,11/19/2012 11:27
11/19/2012 11:51,11/19/2012 12:01
11/19/2012 12:04,11/19/2012 12:11
11/19/2012 12:14,11/19/2012 12:15
11/19/2012 12:17,11/19/2012 12:18
11/19/2012 12:29,11/19/2012 12:33
11/19/2012 12:41,11/19/2012 14:26
11/19/2012 14:27,11/19/2012 14:27
11/19/2012 14:29,11/19/2012 14:29
11/19/2012 14:30,11/19/2012 14:30
11/19/2012 14:31,11/19/2012 15:52
11/19/2012 15:54,11/19/2012 15:54
11/19/2012 15:55,11/19/2012 16:07
11/19/2012 16:08,11/19/2012 19:44
11/19/2012 19:56,11/19/2012 21:59
11/19/2012 21:59,11/19/2012 22:04
11/19/2012 22:25,11/19/2012 22:29
11/19/2012 22:31,11/19/2012 22:32
11/19/2012 22:32,11/20/2012 1:22
11/20/2012 1:23,11/20/2012 1:24
11/20/2012 1:25,11/20/2012 9:58
11/20/2012 10:19,11/20/2012 10:20
11/20/2012 10:21,11/20/2012 10:30
11/20/2012 10:40,11/20/2012 10:58
11/20/2012 11:00,11/20/2012 11:14
11/20/2012 11:15,11/20/2012 12:55
11/20/2012 13:01,11/20/2012 13:02
11/20/2012 13:03,11/20/2012 13:09
11/20/2012 13:33,11/20/2012 14:24
11/20/2012 14:25,11/20/2012 14:56
11/20/2012 15:12,11/20/2012 15:43
11/20/2012 15:54,11/20/2012 15:55
11/20/2012 15:59,11/20/2012 20:31
11/20/2012 20:34,11/20/2012 21:51
11/20/2012 21:57,11/21/2012 0:02
11/21/2012 0:03,11/21/2012 0:04
11/21/2012 0:08,11/21/2012 0:08
11/21/2012 0:09,11/21/2012 0:09
11/21/2012 0:12,11/21/2012 9:53
11/21/2012 9:59,11/21/2012 10:00
11/21/2012 10:01,11/21/2012 10:06
11/21/2012 10:07,11/21/2012 11:32
11/21/2012 11:37,11/21/2012 11:44
11/21/2012 11:48,11/21/2012 11:48
11/21/2012 11:49,11/21/2012 11:52
11/21/2012 12:01,11/21/2012 12:26
11/21/2012 12:45,11/21/2012 13:27
11/21/2012 14:10,11/21/2012 15:01
11/21/2012 15:02,11/21/2012 15:31
11/21/2012 15:32,11/21/2012 15:53
11/21/2012 15:57,11/21/2012 17:49
11/21/2012 17:50,11/21/2012 17:55
11/21/2012 17:56,11/21/2012 21:01
11/21/2012 21:08,11/21/2012 21:09
11/21/2012 21:18,11/22/2012 1:40
11/22/2012 1:40,11/22/2012 1:42
11/22/2012 1:47,11/22/2012 1:47
11/22/2012 1:55,11/22/2012 10:11
11/22/2012 10:16,11/22/2012 10:17
11/22/2012 10:19,11/22/2012 10:42
11/22/2012 11:02,11/22/2012 11:10
11/22/2012 11:11,11/22/2012 11:56
11/22/2012 11:12,11/22/2012 11:55
11/22/2012 11:56,11/22/2012 12:09
11/22/2012 12:20,11/22/2012 12:31
11/22/2012 12:38,11/22/2012 14:56
11/22/2012 15:04,11/22/2012 15:04
11/22/2012 15:05,11/22/2012 15:27
11/22/2012 15:27,11/22/2012 16:42
11/22/2012 16:43,11/22/2012 16:52
11/22/2012 16:53,11/22/2012 18:15
11/22/2012 18:15,11/22/2012 18:18
11/22/2012 18:19,11/22/2012 20:23
11/22/2012 21:01,11/22/2012 21:02
11/22/2012 21:05,11/22/2012 21:05
11/22/2012 21:06,11/23/2012 0:34
11/23/2012 0:36,11/23/2012 0:38
11/23/2012 0:44,11/23/2012 0:44
11/23/2012 0:45,11/23/2012 0:46
11/23/2012 0:48,11/23/2012 1:32
11/23/2012 1:33,11/23/2012 1:33
11/23/2012 1:34,11/23/2012 9:40
11/23/2012 9:44,11/23/2012 9:45
11/23/2012 9:49,11/23/2012 9:59
11/23/2012 10:32,11/23/2012 10:38
11/23/2012 10:43,11/23/2012 10:47
11/23/2012 10:48,11/23/2012 10:52
11/23/2012 10:56,11/23/2012 12:35
11/23/2012 12:53,11/23/2012 12:56
11/23/2012 13:03,11/23/2012 13:03
11/23/2012 13:05,11/23/2012 14:23
11/23/2012 14:23,11/23/2012 14:38
11/23/2012 14:40,11/23/2012 14:41
11/23/2012 14:52,11/23/2012 16:49
11/23/2012 16:55,11/23/2012 16:56
11/23/2012 16:57,11/23/2012 17:10
11/23/2012 17:11,11/23/2012 17:57
11/23/2012 17:58,11/23/2012 18:00
11/23/2012 18:07,11/23/2012 19:50
11/23/2012 19:53,11/23/2012 22:03
11/23/2012 22:07,11/23/2012 22:08
11/23/2012 22:17,11/24/2012 0:27
11/24/2012 0:27,11/24/2012 0:32
11/24/2012 0:33,11/24/2012 10:02
11/24/2012 10:04,11/24/2012 10:12
11/24/2012 10:17,11/24/2012 10:18
11/24/2012 10:19,11/24/2012 11:13
11/24/2012 11:16,11/24/2012 11:19
11/24/2012 11:30,11/24/2012 11:38
11/24/2012 11:39,11/24/2012 11:52
11/24/2012 11:59,11/24/2012 12:00
11/24/2012 12:01,11/24/2012 12:02
11/24/2012 12:09,11/24/2012 12:23
11/24/2012 12:31,11/24/2012 13:18
11/24/2012 13:50,11/24/2012 14:31
11/24/2012 14:32,11/24/2012 14:32
11/24/2012 14:36,11/24/2012 15:59
11/24/2012 16:00,11/24/2012 16:00
11/24/2012 16:01,11/24/2012 16:01
11/24/2012 16:02,11/24/2012 16:02
11/24/2012 16:03,11/24/2012 16:03
11/24/2012 16:04,11/24/2012 19:57
11/24/2012 19:58,11/24/2012 19:59
11/24/2012 20:08,11/24/2012 20:31
11/24/2012 22:01,11/24/2012 22:01
11/24/2012 22:02,11/24/2012 22:16
11/24/2012 22:17,11/24/2012 22:18
11/24/2012 22:19,11/24/2012 23:20
11/24/2012 23:21,11/24/2012 23:22
11/24/2012 23:23,11/25/2012 0:44
11/25/2012 0:45,11/25/2012 0:47
11/25/2012 0:48,11/25/2012 1:48
11/25/2012 1:50,11/25/2012 9:24
11/25/2012 9:29,11/25/2012 9:29
11/25/2012 9:30,11/25/2012 9:30
11/25/2012 9:43,11/25/2012 9:43
11/25/2012 9:44,11/25/2012 9:54
11/25/2012 9:55,11/25/2012 9:56
11/25/2012 10:03,11/25/2012 10:07
11/25/2012 10:22,11/25/2012 10:41
11/25/2012 10:44,11/25/2012 13:39
11/25/2012 13:41,11/25/2012 13:45
11/25/2012 13:50,11/25/2012 14:38
11/25/2012 14:41,11/25/2012 14:59
11/25/2012 15:47,11/25/2012 15:48
11/25/2012 15:58,11/25/2012 20:10
11/25/2012 20:13,11/25/2012 20:14
11/25/2012 20:15,11/25/2012 22:01
11/25/2012 22:13,11/25/2012 22:14
11/25/2012 22:14,11/25/2012 23:20
11/25/2012 23:25,11/26/2012 1:28
11/26/2012 1:31,11/26/2012 1:31
11/26/2012 1:32,11/26/2012 8:50
11/26/2012 8:55,11/26/2012 8:55
11/26/2012 8:56,11/26/2012 9:43
11/26/2012 9:50,11/26/2012 9:51
11/26/2012 9:57,11/26/2012 10:04
11/26/2012 10:42,11/26/2012 10:48
11/26/2012 10:52,11/26/2012 11:01
11/26/2012 11:11,11/26/2012 11:14
11/26/2012 11:15,11/26/2012 11:16
11/26/2012 11:34,11/26/2012 11:59
11/26/2012 12:04,11/26/2012 12:51
11/26/2012 12:52,11/26/2012 18:54
11/26/2012 19:00,11/26/2012 19:01
11/26/2012 19:09,11/26/2012 21:03
11/26/2012 21:17,11/27/2012 1:27
11/27/2012 1:37,11/27/2012 1:38
11/27/2012 1:41,11/27/2012 1:41
11/27/2012 1:42,11/27/2012 1:43
11/27/2012 1:43,11/27/2012 10:12
11/27/2012 10:18,11/27/2012 10:19
11/27/2012 10:20,11/27/2012 10:30
11/27/2012 10:46,11/27/2012 11:44
11/27/2012 11:53,11/27/2012 11:53
11/27/2012 11:54,11/27/2012 11:54
11/27/2012 11:58,11/27/2012 12:23
11/27/2012 12:25,11/27/2012 12:25
11/27/2012 12:26,11/27/2012 13:22
11/27/2012 13:32,11/27/2012 13:40
11/27/2012 13:41,11/27/2012 13:53
11/27/2012 13:54,11/27/2012 13:54
11/27/2012 14:10,11/27/2012 14:34
11/27/2012 14:38,11/27/2012 16:14
11/27/2012 16:22,11/27/2012 18:50
11/27/2012 19:11,11/27/2012 19:44
11/27/2012 19:46,11/27/2012 19:46
11/27/2012 19:47,11/27/2012 20:59
11/27/2012 21:01,11/27/2012 21:02
11/27/2012 21:04,11/27/2012 21:05
11/27/2012 21:06,11/27/2012 21:06
11/27/2012 21:12,11/28/2012 1:37
11/28/2012 1:41,11/28/2012 1:42
11/28/2012 1:49,11/28/2012 1:50
11/28/2012 1:51,11/28/2012 9:16
11/28/2012 9:23,11/28/2012 9:25
11/28/2012 9:27,11/28/2012 9:45
11/28/2012 9:46,11/28/2012 9:46
11/28/2012 9:50,11/28/2012 9:56
11/28/2012 10:00,11/28/2012 10:01
11/28/2012 10:04,11/28/2012 10:05
11/28/2012 10:33,11/28/2012 10:45
11/28/2012 10:50,11/28/2012 11:03
11/28/2012 11:04,11/28/2012 12:27
11/28/2012 12:28,11/28/2012 12:28
11/28/2012 12:58,11/28/2012 13:14
11/28/2012 13:16,11/28/2012 13:18
11/28/2012 13:54,11/28/2012 14:23
11/28/2012 14:24,11/28/2012 14:24
11/28/2012 14:25,11/28/2012 14:25
11/28/2012 14:26,11/28/2012 14:26
11/28/2012 14:27,11/28/2012 14:27
11/28/2012 14:28,11/28/2012 16:05
11/28/2012 16:05,11/28/2012 17:38
11/28/2012 17:40,11/28/2012 17:45
11/28/2012 17:55,11/28/2012 19:29
11/28/2012 19:30,11/28/2012 19:35
11/28/2012 19:48,11/28/2012 22:14
11/28/2012 22:15,11/28/2012 22:18
11/28/2012 22:19,11/28/2012 23:38
11/28/2012 23:54,11/28/2012 23:55
11/28/2012 23:56,11/28/2012 23:56
11/28/2012 23:58,11/29/2012 0:00
11/29/2012 0:00,11/29/2012 0:57
11/29/2012 0:58,11/29/2012 0:58
11/29/2012 0:59,11/29/2012 9:35
11/29/2012 9:38,11/29/2012 9:45
11/29/2012 9:50,11/29/2012 9:56
11/29/2012 10:04,11/29/2012 10:06
11/29/2012 10:15,11/29/2012 10:20
11/29/2012 10:30,11/29/2012 10:31
11/29/2012 10:34,11/29/2012 10:36
11/29/2012 10:45,11/29/2012 13:39
11/29/2012 14:27,11/29/2012 15:05
11/29/2012 15:08,11/29/2012 15:32
11/29/2012 16:12,11/29/2012 16:12
11/29/2012 16:13,11/29/2012 16:17
11/29/2012 16:18,11/29/2012 18:15
11/29/2012 18:16,11/29/2012 18:19
11/29/2012 18:44,11/29/2012 20:58
11/29/2012 21:00,11/29/2012 21:00
11/29/2012 21:01,11/29/2012 21:01
11/29/2012 21:02,11/29/2012 21:32
11/29/2012 22:26,11/29/2012 23:35
11/30/2012 0:18,11/30/2012 1:39
11/30/2012 1:40,11/30/2012 1:40
11/30/2012 1:41,11/30/2012 10:20
11/30/2012 10:25,11/30/2012 10:31
11/30/2012 10:27,11/30/2012 10:28
11/30/2012 10:51,11/30/2012 11:51
11/30/2012 11:52,11/30/2012 11:56
11/30/2012 11:57,11/30/2012 12:00
11/30/2012 12:02,11/30/2012 12:03
11/30/2012 12:04,11/30/2012 12:25
11/30/2012 12:26,11/30/2012 12:30
11/30/2012 12:54,11/30/2012 12:54
11/30/2012 12:55,11/30/2012 12:55
11/30/2012 12:56,11/30/2012 14:35
11/30/2012 15:08,11/30/2012 15:20
11/30/2012 15:20,11/30/2012 17:29
11/30/2012 17:30,11/30/2012 17:42
11/30/2012 17:46,11/30/2012 17:47
11/30/2012 17:51,11/30/2012 22:12
11/30/2012 22:12,11/30/2012 22:20
11/30/2012 22:40,12/1/2012 0:05
12/1/2012 0:10,12/1/2012 0:11
12/1/2012 0:15,12/1/2012 0:15
12/1/2012 0:16,12/1/2012 0:16
12/1/2012 0:18,12/1/2012 9:40
12/1/2012 9:46,12/1/2012 9:47
12/1/2012 9:50,12/1/2012 10:09
12/1/2012 10:34,12/1/2012 10:36
12/1/2012 10:37,12/1/2012 10:43
12/1/2012 10:45,12/1/2012 10:48
12/1/2012 10:54,12/1/2012 10:54
12/1/2012 11:29,12/1/2012 11:36
12/1/2012 12:16,12/1/2012 12:49
12/1/2012 12:52,12/1/2012 12:53
12/1/2012 13:37,12/1/2012 14:10
12/1/2012 15:49,12/1/2012 15:53
12/1/2012 18:28,12/1/2012 18:45
12/1/2012 18:52,12/1/2012 18:52
12/1/2012 18:53,12/1/2012 20:36
12/1/2012 21:10,12/1/2012 21:10
12/1/2012 21:20,12/2/2012 1:25
12/2/2012 1:32,12/2/2012 1:33
12/2/2012 1:38,12/2/2012 1:39
12/2/2012 1:41,12/2/2012 9:20
12/2/2012 9:25,12/2/2012 9:25
12/2/2012 9:26,12/2/2012 10:16
12/2/2012 10:20,12/2/2012 10:21
12/2/2012 10:26,12/2/2012 10:33
12/2/2012 11:34,12/2/2012 11:35
12/2/2012 11:35,12/2/2012 11:49
12/2/2012 11:53,12/2/2012 11:53
12/2/2012 12:24,12/2/2012 12:56
12/2/2012 13:37,12/2/2012 13:59
12/2/2012 15:14,12/2/2012 15:33
12/2/2012 16:45,12/2/2012 16:59
12/2/2012 17:10,12/2/2012 18:45
12/2/2012 18:46,12/2/2012 18:47
12/2/2012 19:10,12/2/2012 19:11
12/2/2012 19:16,12/2/2012 20:03
12/2/2012 20:09,12/2/2012 20:21
12/2/2012 20:29,12/2/2012 20:29
12/2/2012 20:41,12/3/2012 1:03
